"Mean","Variance"
0.40430332193719,0.0114544654656528
0.37527439369142,0.00825247409199486
0.41317315359675,0.0137178143605089
0.45413403021629,0.0118980059740484
0.41245829619718,0.0144355530356758
0.41347707663927,0.00510905747366665
0.51198951707403,0.020015979413477
0.55698152105737,0.0148819058846901
0.49201742085118,0.0181889907028216
0.5191082682085,0.00962012880180359
0.77228084536787,0.0207849238393381
0.36612542015492,0.00802729202902419
0.42624758084591,0.00683043580574569
0.53699458961482,0.0184219491859761
0.62865220700997,0.0382609328176896
0.25101054445212,0.018903623241851
0.46399877875691,0.0156259123792027
0.55396734545087,0.0214598896542472
0.55180190815206,0.0323321692786163
0.47492546464341,0.00350876868589568
0.30454357589248,0.00519568570012273
0.5012758362005,0.016812151817815
0.45408329781968,0.0231003191749969
0.394998627913,0.00458918709349296
0.38212501080929,0.00913596294765145
0.36455435546855,0.00551551657918512
0.40439954884449,0.0134959050313789
0.3136115381852,0.0226974303211641
0.41973909521345,0.00363975510604361
0.282875726076009,0.0178208554744727
0.49262120134204,0.010399295893881
0.32735237429724,0.0285883509408359
0.41829793979414,0.0037205334390841
